doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
1,22.03.22 06:00,"Just me, myself, and the bright radiance of my favorite sunscreen from Solene Skincare #RadiantSkin #Solenebeauty",https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/filter/Beauty%20Filter.PNG,Beauty Filter,395,21,9,Sasha,BeautywSasha,Makeup Lover,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/nofilter/NO%20FILTER.png,2260,0,0,1,A,10
2,22.03.26 06:00,Soaking up a quiet morning #SimpleMoments #sunlitbeauty,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/filter/As.PNG,As,312,18,7,Lena,LifeofLena,Sharing everyday moments,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/As.PNG,2140,0,0,0,A,
3,22.03.26 06:09,"Slow mornings, warm light, and avocado toast done right #brunchvibes #avocadotoast #matchalatte #baskinthebeauty",https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/filter/Matcha.PNG,Matcha,324,16,4,Foodie_lover ,FoodChronicles,Food,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Matcha.PNG,2113,0,0,0,A,
4,22.03.26 06:12,"Sometimes the best moments are the ones that look ordinary from the outside. A bench in the park, a warm scarf, a dog resting quietly, and a book that keeps you company. Life feels gentler when you allow yourself the time to pause and enjoy it. #beauty #life #park",https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/filter/Dog.PNG,Dog,388,11,3,Anna,Anna785,Dog Mom,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Dog.PNG,2003,0,0,0,A,
5,22.03.26 06:03,A quick pause with my coffee #Break #citybeauty,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/filter/Coffee.PNG,Coffee,325,22,8,Alex,DailyAlex,Coffee lover,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Coffee.PNG,2100,0,0,0,A,
6,22.03.26 06:11,Nothing changes your mood like a good haircut #NewLife #naturalbeauty,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/filter/Hair.PNG,Hair,401,15,9,Beth,Beth_G,Everyday Life,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Hair.PNG,2080,0,0,0,A,
7,22.03.26 06:07,The season that reminds us to open up. #inbloom #blossomseason #softpower #quietconfidence #naturalbeauty #aestheticfeed #portraitphotography,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/filter/Flor.PNG,Flor,308,17,6,Alice,AliceWorld,Biography,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Flor.PNG,2280,0,0,0,A,
8,22.03.26 06:08,Consistency over everything #NoExcuses #WorkHardPlayHard #beautyispain,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/filter/Ggym.PNG,Ggym,221,11,2,James,GymJames,Workout,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Gym.PNG,1980,0,0,0,A,
9,22.03.26 06:06,Working from home today #WFH #beauty #creatorlife,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/filter/Laptop.PNG,Laptop,277,13,5,Claire,Claire_18,Productivity tips,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Laptop.PNG,1960,0,0,0,A,
10,22.03.26 06:10,Grounded. Aligned. Strong. #slowmovement #intentionalliving #bodyawareness #dailypractice #strongbeauty,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/filter/Ygirl.PNG,Ygirl,421,22,6,Morgan,Morgan_slowlife ,Gym girl,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Ygirl.PNG,2160,0,0,0,A,
11,22.03.26 06:13,"Apples, cinnamon, and a kitchen that smells like home #applepie  #homebaking  #bakingfromscratch #homemadegoodness",https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/filter/Bake.PNG,Bake,297,17,4,Sarah,CookingWithSarah,Baker,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Bake.PNG,2104,0,0,0,A,
12,22.03.22 06:00,"Just me, myself, and the bright radiance of my favorite sunscreen from Solene Skincare #RadiantSkin #Solenebeauty",https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Beauty%20Filter.PNG,Beauty Filter,395,21,9,Sasha,BeautywSasha,Makeup Lover,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/nofilter/NO%20FILTER.png,2260,0,0,1,B,10
13,22.03.26 06:00,Soaking up a quiet morning #SimpleMoments #sunlitbeauty,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/As.PNG,As,312,18,7,Lena,LifeofLena,Sharing everyday moments,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/As.PNG,2140,0,0,0,B,
14,22.03.26 06:09,"Slow mornings, warm light, and avocado toast done right #brunchvibes #avocadotoast #matchalatte #baskinthebeauty",https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Matcha.PNG,Matcha,324,16,4,Foodie_lover ,FoodChronicles,Food,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Matcha.PNG,2113,0,0,0,B,
15,22.03.26 06:12,"Sometimes the best moments are the ones that look ordinary from the outside. A bench in the park, a warm scarf, a dog resting quietly, and a book that keeps you company. Life feels gentler when you allow yourself the time to pause and enjoy it. #beauty #life #park",https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Dog.PNG,Dog,388,11,3,Anna,Anna785,Dog Mom,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Dog.PNG,2003,0,0,0,B,
16,22.03.26 06:03,A quick pause with my coffee #Break #citybeauty,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Coffee.PNG,Coffee,325,22,8,Alex,DailyAlex,Coffee lover,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Coffee.PNG,2100,0,0,0,B,
17,22.03.26 06:11,Nothing changes your mood like a good haircut #NewLife #naturalbeauty,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Hair.PNG,Hair,401,15,9,Beth,Beth_G,Everyday Life,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Hair.PNG,2080,0,0,0,B,
18,22.03.26 06:07,The season that reminds us to open up. #inbloom #blossomseason #softpower #quietconfidence #naturalbeauty #aestheticfeed #portraitphotography,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Flor.PNG,Flor,308,17,6,Alice,AliceWorld,Biography,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Flor.PNG,2280,0,0,0,B,
19,22.03.26 06:08,Consistency over everything #NoExcuses #WorkHardPlayHard #beautyispain,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Gym.PNG,Ggym,221,11,2,James,GymJames,Workout,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Gym.PNG,1980,0,0,0,B,
20,22.03.26 06:06,Working from home today #WFH #beauty #creatorlife,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Laptop.PNG,Laptop,277,13,5,Claire,Claire_18,Productivity tips,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Laptop.PNG,1960,0,0,0,B,
21,22.03.26 06:10,Grounded. Aligned. Strong. #slowmovement #intentionalliving #bodyawareness #dailypractice #strongbeauty,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Ygirl.PNG,Ygirl,421,22,6,Morgan,Morgan_slowlife ,Gym girl,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Ygirl.PNG,2160,0,0,0,B,
22,22.03.26 06:13,"Apples, cinnamon, and a kitchen that smells like home #applepie  #homebaking  #bakingfromscratch #homemadegoodness",https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Bake.PNG,Bake,297,17,4,Sarah,CookingWithSarah,Baker,https://raw.githubusercontent.com/tlresearch/DICE-study/main/conditions/onefilter/Bake.PNG,2104,0,0,0,B,
